MATEMATIKA;BAHASA INDONESIA;BAHASA INGGRIS;IPA
83;97;91;78
89;99;58;71
72;95;62;73
99;73;87;75
64;88;81;90
98;76;88;69
77;70;98;85
98;73;98;64
93;88;77;68
97;65;63;60
71;70;68;83
88;81;68;80
75;89;86;65
81;85;86;64
66;98;56;74
97;99;63;66
89;77;82;86
98;88;85;73
76;72;70;61
85;78;74;62
97;74;94;83
64;95;82;93
63;79;96;66
78;88;88;75
74;86;80;72
70;91;95;88
68;65;66;62
86;83;62;85
65;96;77;84
98;93;77;62
90;98;97;72
78;100;78;85
76;77;79;85
76;72;59;70
81;87;79;67
62;66;87;63
90;74;91;73
93;73;89;95
80;88;87;68
61;79;87;75
60;83;66;82
73;77;83;72
61;79;60;97
76;87;64;71
80;88;100;98
73;82;60;61
61;83;98;92
80;86;63;68
82;65;80;76
87;74;63;65
84;97;91;94
95;98;75;94
73;91;93;64
97;77;83;79
84;71;70;68
76;95;83;64
92;86;87;65
84;70;95;67
60;80;88;78
78;87;96;82
91;81;61;94
63;93;65;79
92;70;78;92
99;91;55;79
73;88;93;88
98;69;81;99
64;82;75;71
91;66;90;75
65;71;55;72
99;81;92;77
79;90;78;70
61;93;73;66
72;82;71;68
65;84;56;73
84;68;69;98
91;97;79;70
73;100;67;89
94;79;60;64
75;74;80;89
76;73;55;70
77;87;64;96
86;75;79;78
89;79;80;62
89;79;73;71
60;84;91;85
60;94;80;96
86;94;57;78
82;95;71;94
100;75;91;70
99;71;85;76
66;66;64;74
75;68;68;69
84;79;67;88
73;97;100;90
94;70;64;94
88;84;77;87
61;100;86;96
80;82;72;77
60;82;91;68
100;67;59;82
79;77;91;70
73;85;97;60
74;76;76;88
82;72;61;93
64;88;69;76
88;80;100;81
69;75;92;70
82;79;71;78
79;90;99;74
82;83;63;84
98;83;79;70
64;69;75;95
95;87;69;60
62;72;59;88
95;89;80;100
95;73;68;93
80;67;94;67
95;91;63;68
60;89;86;96
71;70;83;86
84;97;55;76
66;87;59;79
68;78;74;94
92;89;68;100
77;86;95;84
78;70;64;69
74;69;71;62
81;99;59;86
74;90;56;90
69;91;89;72
71;66;59;99
80;88;61;92
77;69;79;61
82;86;75;84
72;82;59;88
93;82;71;98
75;73;72;63
60;78;93;80
90;100;65;100
82;79;60;99
98;94;65;81
71;88;100;74
75;69;67;60
91;84;90;84
60;69;88;70
78;94;92;60
